target,first_call_site,call_count,reason,evidence
0x0030480c,0x0031efdc,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00304c5c,0x00320994,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00305060,0x0030efec,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0030638c,0x0031e888,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x003063c0,0x0031e7a4,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00306818,0x00315540,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00306c30,0x0031f880,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00307f98,0x0031f128,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x003090f8,0x0031630c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00339b90,0x0031f7c8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x00339bd0,0x002faea8,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0033b3e8,0x0031edac,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0033c020,0x002f39ac,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0033c414,0x002f3b20,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0033e008,0x0031aa34,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
0x0033e3ac,0x0031ff5c,1,target-outside-confirmed-code,decoded JAL word occurs in post-code data and points outside 0x00100000..0x001b07ff
