address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x0015cae0,snes_p16_0015cae0,memory-ppu,medium-high,0x0015c600,6,75,0,faeaf318d49d159f32dda8c5c297fa2f74270a4995f35f0e86a826f8bc070f50,complete R5900 structural decompile
0x0015cce4,snes_p16_0015cce4,memory-ppu,medium-high,0x0015d30c,1,36,0,3b6ebefc6c9ee3355dc9558a977ec93b8b42d1acc08e0c6470bd8affde16ea14,complete R5900 structural decompile
0x0015cea4,snes_p16_0015cea4,memory-ppu,medium-high,0x0015d2cc,1,79,0,705761cfea477142ec422bdae9dc54c319bada620d8cc57b755910f4efd98262,complete R5900 structural decompile
0x0015d0bc,snes_p16_0015d0bc,memory-ppu,medium-high,0x00116658,1,76,0,a2d7620e73f820825be3739650302f2e0c7c3d7576574ea704f5d8a5e7f771e0,complete R5900 structural decompile
0x0015d334,snes_p16_0015d334,memory-ppu,medium-high,0x00116344,2,20,0,7aca40fc180be9a31c9b371f5ba3f801ea116b923c30944dd154651b44740d37,complete R5900 structural decompile
0x0015d3ec,snes_p16_0015d3ec,memory-ppu,medium-high,0x001594f4,1,89,0,7c377afabde3d63009e2b9c1be9a5eac79d895781cd8a44e15200689a8eb3a10,complete R5900 structural decompile
0x0015d6d8,snes_p16_0015d6d8,memory-ppu,medium-high,0x00159d5c,1,61,0,7093ea543f3000b73a96ea70cfea9d8cfe88c7f6ed26800dcb08b839b7d99a27,complete R5900 structural decompile
0x0015dab4,snes_p16_0015dab4,memory-ppu,medium-high,0x0015dc40,2,41,0,35814bb93376042da742c0114dfcaa07186bf6bf41e9f9f39cc68a5b62f316cc,complete R5900 structural decompile
0x0015dc84,snes_p16_0015dc84,memory-ppu,medium-high,0x0015de28,163,54,0,9afd4e3cfdf7cca0dee30753dd005bffe6b82a9c8cef876f5a3eb30ac04adfa0,complete R5900 structural decompile
0x0015de68,snes_p16_0015de68,memory-ppu,medium-high,0x0015e054,163,75,0,3d39c7fefd038967287a85009b13179e74ff510e032962a5337a09950ac9ec7f,complete R5900 structural decompile
0x0015e298,snes_p16_0015e298,memory-ppu,medium-high,0x0015ad5c,2,50,0,cebd74b094b0e0f5009070dd963db7cf183194bd99248a639d444174d41a5294,complete R5900 structural decompile
